pickup_dayofweek,trip_count,avg_fare,avg_distance,company,month
0,71977,12.51854439612654,3.032907178682079,yellow,1
1,80961,12.190119563740566,2.790438606242512,yellow,1
2,85130,12.028419476095383,2.6909256431340305,yellow,1
3,62472,12.382696728134203,2.7690341272890255,yellow,1
4,71277,12.258237439847356,2.70723234704042,yellow,1
5,68918,11.770175135668476,2.691746568385618,yellow,1
6,59265,12.086585337045474,2.98657487555893,yellow,1
0,64103,12.344175155608943,2.977459245277132,yellow,2
1,70155,12.25869246668092,2.783214453709643,yellow,2
2,73530,12.297934584523324,2.735582483340133,yellow,2
3,77121,12.420794854838501,2.7965534679270236,yellow,2
4,78857,12.265217799307608,2.729574165895228,yellow,2
5,74678,11.587539569886713,2.6150289241811513,yellow,2
6,61556,12.017616154395997,2.9825024368055106,yellow,2
0,60455,12.667681581341492,2.9948325200562405,yellow,3
1,65744,12.618604283280604,2.8181146568508155,yellow,3
2,56313,11.681064230284305,2.6443922362509547,yellow,3
3,87130,12.883563525766096,2.9353911396763457,yellow,3
4,87829,12.675230390873175,2.809088683692175,yellow,3
5,83233,12.221034325327695,2.7984303100933525,yellow,3
6,59296,12.858610361575824,3.207120716405828,yellow,3
0,75609,12.932169053948604,3.0629977912682356,yellow,4
1,66919,12.723050254785637,2.8652490324123194,yellow,4
2,68755,13.04720936659152,2.890145153079776,yellow,4
3,71837,13.217335634839985,2.945255091387447,yellow,4
4,72418,13.135429451241404,2.9286522687729573,yellow,4
5,70209,12.275677049950861,2.7868580951160107,yellow,4
6,74253,12.932623867049143,3.227939611867534,yellow,4
0,56606,13.345625905381056,3.233080062184221,yellow,5
1,81236,13.251138165345413,2.9492728593234525,yellow,5
2,84186,13.570320718409237,2.972937780628608,yellow,5
3,86997,13.732965619504121,3.0110499212616526,yellow,5
4,69204,13.58277744061037,3.0621695277729613,yellow,5
5,65846,12.385241168787777,2.8695721835798684,yellow,5
6,55925,13.037543316942333,3.298409119356281,yellow,5
0,63835,13.16337761416151,3.117287068222762,yellow,6
1,67595,13.054299430431245,2.928118647828981,yellow,6
2,70900,13.228321156558533,2.9356212976022564,yellow,6
3,71698,13.67062902730899,3.0029117967028367,yellow,6
4,86740,13.356450080700945,3.014344131888402,yellow,6
5,81661,12.357631794859234,2.921146569353792,yellow,6
6,57571,13.599922356742109,3.4107701794306164,yellow,6
0,79407,12.99721498104701,3.083370483710504,yellow,7
1,86267,12.849740688791774,2.871295396849317,yellow,7
2,66775,13.075955821789591,2.9647627105952825,yellow,7
3,68099,13.417766340181206,2.998509816590552,yellow,7
4,66562,13.148396081848503,2.959508578468195,yellow,7
5,62218,12.675384936835,3.046640843485808,yellow,7
6,70672,12.995120698437855,3.312793468417478,yellow,7
0,60536,13.00334296947271,3.11665273556231,yellow,8
1,66336,12.738290219488663,2.924320127834057,yellow,8
2,87997,12.882060752071093,2.9279376569655784,yellow,8
3,88171,13.298467636751312,2.99202935205453,yellow,8
4,83220,13.213779980773852,3.040970559961548,yellow,8
5,59670,12.685903301491537,3.0443634992458524,yellow,8
6,54070,13.392846865174773,3.438342334011467,yellow,8
0,59254,13.332400850575487,3.1961867553245353,yellow,9
1,65082,13.313744199625088,2.9361732890814665,yellow,9
2,69486,13.423411622485105,2.9180708344126876,yellow,9
3,73343,13.917216503279114,3.0044488226551955,yellow,9
4,73931,13.617173445510003,3.007042242090598,yellow,9
5,84268,12.733667584373665,2.9116953054540273,yellow,9
6,74636,13.368234766064633,3.3244959536952674,yellow,9
0,73131,13.294500143577963,3.15077272292188,yellow,10
1,80853,13.184528588920633,2.9323797509059655,yellow,10
2,82939,13.393108670227518,2.9468133206332365,yellow,10
3,69315,13.805966385342279,2.9699037726321866,yellow,10
4,68533,13.904573709016095,3.033584550508514,yellow,10
5,66524,12.575446305092898,2.7975112741266313,yellow,10
6,58705,13.598198109190017,3.3277138233540584,yellow,10
0,64110,13.198700670722195,2.9981297769458743,yellow,11
1,69378,13.258338522298136,2.8953263282308512,yellow,11
2,69502,13.404241892319645,2.8830564588069407,yellow,11
3,80661,13.866525086473017,2.9514021646148696,yellow,11
4,86393,13.332043105344182,2.939908094405797,yellow,11
5,70549,12.525880310139051,2.8213063260995903,yellow,11
6,59407,13.408824717625869,3.272011715791068,yellow,11
0,74316,12.588268744281178,2.914673825286614,yellow,12
1,61836,13.13380377126593,2.898441037583285,yellow,12
2,66285,13.293452063061023,2.903042618993739,yellow,12
3,68959,13.58937789121072,2.9289419800171115,yellow,12
4,69885,13.341137726264577,2.9275023252486227,yellow,12
5,85201,12.716582551847983,2.811153038109881,yellow,12
6,73518,12.873743300960308,3.094654234337169,yellow,12
0,72983,11.985672005809572,2.8030375566912844,green,1
1,78268,11.842504599580927,2.682110952113252,green,1
2,82833,11.947826832301136,2.7057877898905023,green,1
3,55720,11.994215541995692,2.6959953338119167,green,1
4,74930,11.749622447617776,2.6205986921126385,green,1
5,75058,11.570055557035891,2.699208478776413,green,1
6,60208,11.53013204225352,2.785593110550093,green,1
0,63489,11.980138764195372,2.8002642977523666,green,2
1,65019,12.239910333902397,2.8063629093034343,green,2
2,70729,12.18316206930679,2.770377214438208,green,2
3,74054,12.08579860642234,2.758362816323223,green,2
4,82728,11.818788318344454,2.681541436998356,green,2
5,80815,11.696482336199962,2.7400971354327788,green,2
6,63166,11.695340531298484,2.8422599183104835,green,2
0,57827,12.93170733394435,3.037463814481125,green,3
1,62072,13.061489238303905,3.011156237917257,green,3
2,50501,12.45443357557276,2.939339221005525,green,3
3,83595,12.608206830552067,2.9189077097912555,green,3
4,91802,12.760277880656195,2.904179320711967,green,3
5,93683,12.579381211105536,3.0016216389312893,green,3
6,60520,12.640100627891606,3.122488268341044,green,3
0,73263,13.20953660101279,3.143049970653672,green,4
1,63107,13.371458475288003,3.1465122728065036,green,4
2,64556,13.544501827870375,3.176977352995849,green,4
3,68658,13.581859652189111,3.1591657199452357,green,4
4,74120,13.3727934430653,3.096110361575823,green,4
5,77137,12.97740928477903,3.1146458897805203,green,4
6,79159,12.78979800149067,3.1702286537222553,green,4
0,55710,13.712557350565428,3.3323855681206247,green,5
1,77515,14.166212862026704,3.304618331935754,green,5
2,80320,14.323256847609562,3.319285856573705,green,5
3,83892,14.33695417918276,3.304476231345063,green,5
4,71482,14.086566967908004,3.2661193027615343,green,5
