company,month,trip_count,avg_fare,avg_distance,avg_duration,avg_passengers,avg_tip,avg_total,median_fare,total_revenue
yellow,1,8597058,12.18,2.8,13.25,1.62,1.81,15.42,9.0,132558608.86
yellow,2,8336670,12.16,2.79,13.31,1.61,1.82,15.42,9.0,128529117.02
yellow,3,9243958,12.55,2.89,13.93,1.61,1.84,15.86,9.0,146569483.8
yellow,4,9121592,12.88,2.96,14.41,1.61,1.87,16.24,9.5,148108210.7
yellow,5,9039888,13.3,3.04,15.11,1.61,1.91,16.72,9.5,151120534.31
yellow,6,8530395,13.19,3.03,14.84,1.61,1.9,16.59,9.5,141506956.85
yellow,7,7679818,13.02,3.03,14.28,1.62,1.82,16.32,9.5,125343374.63
yellow,8,7678064,13.04,3.05,14.28,1.62,1.81,16.36,9.5,125613764.41
yellow,9,7859379,13.36,3.03,15.18,1.6,1.9,16.75,9.5,131623433.59
yellow,10,8593500,13.4,3.01,15.4,1.59,1.94,16.85,9.5,144778549.77
yellow,11,7921310,13.29,2.95,15.37,1.6,1.92,16.69,9.5,132188170.44
yellow,12,7937122,13.05,2.92,14.91,1.62,1.86,16.37,9.5,129933669.03
green,1,770877,11.8,2.71,13.29,1.36,1.05,14.09,9.0,10864752.21
green,2,749527,11.96,2.77,13.41,1.36,1.05,14.26,9.0,10687036.81
green,3,813829,12.72,2.99,14.39,1.36,1.03,15.04,9.5,12237286.35
green,4,777568,13.25,3.14,14.98,1.37,1.04,15.6,9.5,12133267.94
green,5,773527,13.88,3.29,15.94,1.36,1.04,16.25,10.0,12571508.34
green,6,717940,14.03,3.36,15.95,1.36,1.03,16.4,10.0,11772723.67
green,7,664659,13.81,3.37,15.31,1.36,1.01,16.17,10.0,10744990.32
green,8,647479,13.97,3.45,15.47,1.35,1.0,16.33,10.0,10575765.12
green,9,648293,14.35,3.5,16.23,1.35,1.07,16.77,10.5,10872776.82
green,10,690452,14.53,3.52,16.75,1.34,1.01,16.9,10.5,11669419.8
green,11,637566,14.56,3.52,16.87,1.34,1.0,16.91,10.5,10780616.51
green,12,663021,14.28,3.52,16.24,1.32,0.95,16.59,10.0,10998188.53
