payment_type,count,company,month
信用卡,349793,yellow,1
现金,147841,yellow,1
免费,1840,yellow,1
争议,526,yellow,1
信用卡,354526,yellow,2
现金,143251,yellow,2
免费,1728,yellow,2
争议,495,yellow,2
信用卡,349941,yellow,3
现金,147564,yellow,3
免费,1911,yellow,3
争议,584,yellow,3
信用卡,349939,yellow,4
现金,147578,yellow,4
免费,1980,yellow,4
争议,503,yellow,4
信用卡,348445,yellow,5
现金,149016,yellow,5
免费,1978,yellow,5
争议,561,yellow,5
信用卡,349334,yellow,6
现金,148208,yellow,6
免费,1898,yellow,6
争议,560,yellow,6
信用卡,340311,yellow,7
现金,157281,yellow,7
免费,1826,yellow,7
争议,582,yellow,7
信用卡,342106,yellow,8
现金,155488,yellow,8
免费,1835,yellow,8
争议,571,yellow,8
信用卡,350468,yellow,9
现金,147219,yellow,9
免费,1706,yellow,9
争议,607,yellow,9
信用卡,354484,yellow,10
现金,143328,yellow,10
免费,1660,yellow,10
争议,528,yellow,10
信用卡,352652,yellow,11
现金,145184,yellow,11
免费,1641,yellow,11
争议,523,yellow,11
信用卡,344276,yellow,12
现金,153469,yellow,12
免费,1734,yellow,12
争议,521,yellow,12
信用卡,268750,green,1
现金,229421,green,1
免费,1164,green,1
争议,634,green,1
未知,31,green,1
信用卡,274934,green,2
现金,223577,green,2
免费,990,green,2
争议,489,green,2
未知,10,green,2
信用卡,278086,green,3
现金,220256,green,3
免费,1003,green,3
争议,643,green,3
未知,12,green,3
信用卡,284554,green,4
现金,213581,green,4
免费,979,green,4
争议,871,green,4
未知,15,green,4
信用卡,286022,green,5
现金,212006,green,5
免费,1144,green,5
争议,812,green,5
未知,16,green,5
信用卡,284712,green,6
现金,213492,green,6
免费,1060,green,6
争议,720,green,6
未知,16,green,6
信用卡,280784,green,7
现金,217411,green,7
免费,1153,green,7
争议,640,green,7
未知,12,green,7
信用卡,282464,green,8
现金,215867,green,8
免费,1009,green,8
争议,648,green,8
未知,12,green,8
信用卡,293646,green,9
现金,204731,green,9
免费,983,green,9
争议,626,green,9
未知,14,green,9
信用卡,304846,green,10
现金,193714,green,10
免费,868,green,10
争议,556,green,10
未知,16,green,10
信用卡,307071,green,11
现金,191680,green,11
免费,715,green,11
争议,525,green,11
未知,9,green,11
信用卡,299879,green,12
现金,198813,green,12
免费,781,green,12
争议,515,green,12
未知,12,green,12
