PULocationID,DOLocationID,count,PU_Zone,DO_Zone,company,month
264,264,7294,,,yellow,1
237,236,3089,Upper East Side South,Upper East Side North,yellow,1
236,236,2828,Upper East Side North,Upper East Side North,yellow,1
236,237,2634,Upper East Side North,Upper East Side South,yellow,1
237,237,2321,Upper East Side South,Upper East Side South,yellow,1
239,238,1555,Upper West Side South,Upper West Side North,yellow,1
239,142,1468,Upper West Side South,Lincoln Square East,yellow,1
142,239,1378,Lincoln Square East,Upper West Side South,yellow,1
238,239,1366,Upper West Side North,Upper West Side South,yellow,1
141,236,1323,Lenox Hill West,Upper East Side North,yellow,1
237,162,1278,Upper East Side South,Midtown East,yellow,1
161,237,1252,Midtown Center,Upper East Side South,yellow,1
186,230,1197,Penn Station/Madison Sq West,Times Sq/Theatre District,yellow,1
237,161,1193,Upper East Side South,Midtown Center,yellow,1
263,236,1188,Yorkville West,Upper East Side North,yellow,1
230,186,1186,Times Sq/Theatre District,Penn Station/Madison Sq West,yellow,1
141,237,1118,Lenox Hill West,Upper East Side South,yellow,1
239,239,1108,Upper West Side South,Upper West Side South,yellow,1
186,161,1103,Penn Station/Madison Sq West,Midtown Center,yellow,1
237,141,1098,Upper East Side South,Lenox Hill West,yellow,1
264,264,6221,,,yellow,2
237,236,2947,Upper East Side South,Upper East Side North,yellow,2
236,236,2691,Upper East Side North,Upper East Side North,yellow,2
236,237,2555,Upper East Side North,Upper East Side South,yellow,2
237,237,2182,Upper East Side South,Upper East Side South,yellow,2
239,238,1540,Upper West Side South,Upper West Side North,yellow,2
142,239,1414,Lincoln Square East,Upper West Side South,yellow,2
239,142,1362,Upper West Side South,Lincoln Square East,yellow,2
238,239,1333,Upper West Side North,Upper West Side South,yellow,2
141,236,1227,Lenox Hill West,Upper East Side North,yellow,2
237,162,1221,Upper East Side South,Midtown East,yellow,2
161,237,1200,Midtown Center,Upper East Side South,yellow,2
230,186,1193,Times Sq/Theatre District,Penn Station/Madison Sq West,yellow,2
237,161,1164,Upper East Side South,Midtown Center,yellow,2
186,230,1149,Penn Station/Madison Sq West,Times Sq/Theatre District,yellow,2
234,170,1100,Union Sq,Murray Hill,yellow,2
186,161,1077,Penn Station/Madison Sq West,Midtown Center,yellow,2
79,79,1072,East Village,East Village,yellow,2
237,141,1069,Upper East Side South,Lenox Hill West,yellow,2
239,239,1068,Upper West Side South,Upper West Side South,yellow,2
264,264,6718,,,yellow,3
237,236,2713,Upper East Side South,Upper East Side North,yellow,3
236,236,2396,Upper East Side North,Upper East Side North,yellow,3
236,237,2326,Upper East Side North,Upper East Side South,yellow,3
237,237,2041,Upper East Side South,Upper East Side South,yellow,3
239,238,1394,Upper West Side South,Upper West Side North,yellow,3
239,142,1385,Upper West Side South,Lincoln Square East,yellow,3
237,162,1267,Upper East Side South,Midtown East,yellow,3
142,239,1240,Lincoln Square East,Upper West Side South,yellow,3
238,239,1204,Upper West Side North,Upper West Side South,yellow,3
237,161,1185,Upper East Side South,Midtown Center,yellow,3
161,237,1172,Midtown Center,Upper East Side South,yellow,3
230,186,1168,Times Sq/Theatre District,Penn Station/Madison Sq West,yellow,3
141,236,1162,Lenox Hill West,Upper East Side North,yellow,3
186,230,1125,Penn Station/Madison Sq West,Times Sq/Theatre District,yellow,3
234,170,1086,Union Sq,Murray Hill,yellow,3
79,79,1084,East Village,East Village,yellow,3
239,239,1074,Upper West Side South,Upper West Side South,yellow,3
186,161,1071,Penn Station/Madison Sq West,Midtown Center,yellow,3
263,236,1068,Yorkville West,Upper East Side North,yellow,3
264,264,6367,,,yellow,4
237,236,2989,Upper East Side South,Upper East Side North,yellow,4
236,236,2505,Upper East Side North,Upper East Side North,yellow,4
236,237,2480,Upper East Side North,Upper East Side South,yellow,4
237,237,2362,Upper East Side South,Upper East Side South,yellow,4
239,142,1397,Upper West Side South,Lincoln Square East,yellow,4
239,238,1374,Upper West Side South,Upper West Side North,yellow,4
